1	company
1	firm
1	corporation
1	business
1	a number of persons united or incorporated for joint action, especially for business
1	A company, abbreviated as co., is a legal entity representing an association of people, whether natural, legal or a mixture of both, with a specific objective.
2	educational institution
2	university
2	college
2	school
2	an institution for instruction in a particular skill or field.
2	An educational institution is a place where people of different ages gain an education, including preschools, childcare, primary-elementary schools, secondary-high schools, and universities.
3	artist
3	writer
3	actor
3	singer
3	a person who produces works in any of the arts that are primarily subject to aesthetic criteria.
3	An artist is a person engaged in an activity related to creating art, practicing the arts, or demonstrating an art.
4	athlete
4	sports
4	footballer
4	weightlifter
4	a person trained or gifted in exercises or contests involving physical agility, stamina, or strength; a participant in a sport, exercise, or game requiring physical skill.
4	An athlete (also sportsman or sportswoman) is a person who competes in one or more sports that involve physical strength, speed, or endurance.
5	office-holder
5	politics
5	mayor
5	president
5	a person filling a governmental position; public official.
5	A person who's been appointed to a position by a company or organisation but doesn't have a contract or receive regular payment may be an office-holder.
6	mean of transportation
6	car
6	bus
6	train
6	a means of transporting or conveying, as a truck or bus.
6	Transport (in British English), or transportation (in American English), is the intentional movement of humans, animals, and goods from one location to another.
7	building
7	apartment
7	skyscraper
7	tower
7	a relatively permanent enclosed construction over a plot of land, having a roof and usually windows and often more than one level, used for any of a wide variety of activities, as living, entertaining, or manufacturing.
7	A building or edifice, is an enclosed structure with a roof and walls standing more or less permanently in one place, such as a house or factory (although there's also portable buildings).
8	natural place
8	forest
8	mountain
8	river
8	existing in or formed by nature (opposed to artificial)
8	The natural environment or natural world encompasses all living and non-living things occurring naturally, meaning in this case not artificial.
9	village
9	town
9	countryside
9	rural
9	a small community or group of houses in a rural area, larger than a hamlet and usually smaller than a town, and sometimes (as in parts of the U.S.) incorporated as a municipality.
9	A village is a clustered human settlement or community, larger than a hamlet but smaller than a town (although the word is often used to describe both hamlets and smaller towns), with a population typically ranging from a few hundred to a few thousand.
10	animal
10	insect
10	bird
10	fish
10	any member of the kingdom Animalia, comprising multicellular organisms that have a well-defined shape and usually limited growth, can move voluntarily, actively acquire food and digest it internally, and have sensory and nervous systems that allow them to respond rapidly to stimuli: some classification schemes also include protozoa and certain other single-celled eukaryotes that have motility and animallike nutritional modes.
10	Animals are multicellular, eukaryotic organisms in the biological kingdom Animalia.
11	plant
11	flower
11	tree
11	grass
11	Botany. any member of the kingdom Plantae, comprising multicellular organisms that typically produce their own food from inorganic matter by the process of photosynthesis and that have more or less rigid cell walls containing cellulose, including vascular plants, mosses, liverworts, and hornworts: some classification schemes may include fungi, algae, bacteria, and certain single-celled eukaryotes that have plantlike qualities, as rigid cell walls or the use of photosynthesis.
11	Plants are predominantly photosynthetic eukaryotes, forming the kingdom Plantae.
12	album
12	soundtrack
12	mixtape
12	CD
12	a record or set of records containing several musical selections, a complete play or opera, etc.
12	An album is a collection of audio recordings issued on compact disc (CD), vinyl, audio tape, or another medium such as digital distribution. 
13	film
13	movie
13	comedy
13	drama
13	a sequence of consecutive still images recorded in a series to be viewed on a screen in such rapid succession as to give the illusion of natural movement; motion picture.
13	A film – also called a movie, motion picture, moving picture, picture, photoplay or (slang) flick – is a work of visual art that simulates experiences and otherwise communicates ideas, stories, perceptions, feelings, beauty, or atmosphere through the use of moving images.
14	written work
14	novel
14	newspaper
14	book
14	a handwritten or printed work of fiction or nonfiction, usually on sheets of paper fastened or bound together within covers.
14	A book is a medium for recording information in the form of writing or images, typically composed of many pages (made of papyrus, parchment, vellum, or paper) bound together and protected by a cover.
